,MSSubClass,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,ExterCond,CentralAir,YrSold,price_bracket
0,0,227,21,0,2,6,4,106,4,1,0,1
1,0,625,12,0,2,6,4,71,2,1,1,1
2,0,575,5,0,2,7,4,109,4,1,3,2
3,0,357,12,0,2,4,6,58,2,1,3,1
4,14,135,17,1,0,4,3,55,4,1,3,0
5,7,116,17,0,3,5,5,16,4,1,3,1
6,11,41,0,4,2,6,4,106,4,1,3,1
7,5,857,8,0,5,5,4,96,4,1,0,1
8,9,624,14,0,6,6,5,75,4,1,4,1
9,4,268,9,0,0,5,6,24,1,1,2,0
10,0,253,20,0,2,4,4,66,4,1,0,1
11,0,881,21,0,2,7,4,107,4,1,1,2
12,6,862,6,0,5,4,4,18,4,1,0,1
13,7,1007,17,0,3,6,8,2,4,1,2,2
14,0,611,12,0,2,3,4,72,4,1,4,1
15,5,659,5,0,5,5,6,78,4,1,4,1
16,5,688,19,0,5,5,4,79,4,1,3,1
17,1,413,17,0,2,4,7,28,4,1,3,1
18,0,534,19,0,2,4,4,62,4,1,1,1
19,4,669,7,0,0,4,4,44,4,1,3,1
20,10,646,19,2,2,3,4,69,4,0,4,1
21,5,999,24,0,5,6,6,75,4,1,1,2
22,11,42,0,4,2,7,4,104,4,1,0,2
23,4,117,17,0,0,5,6,24,4,1,2,0
24,0,368,12,0,2,5,5,60,4,1,4,1
25,0,935,12,0,2,5,5,61,4,1,1,1
26,11,187,16,4,2,6,4,106,4,1,0,1
27,5,409,21,0,5,7,4,108,4,1,1,3
28,6,498,17,0,5,4,6,14,2,1,1,1
29,6,616,6,0,5,7,7,36,4,1,1,3
30,0,162,5,0,2,6,4,107,4,1,0,1
31,4,498,7,0,0,5,4,28,4,0,2,0
32,0,872,19,0,2,4,4,75,4,1,0,1
33,4,603,17,0,0,5,6,24,2,1,2,2
34,11,950,24,4,2,7,4,97,4,1,2,2
35,12,19,16,3,5,6,4,104,4,1,3,1
36,12,72,21,4,5,6,4,107,4,1,1,1
37,0,596,14,0,2,6,4,89,4,1,0,2
38,10,623,12,2,2,4,3,65,4,1,1,1
39,5,487,5,0,5,6,5,104,4,1,4,2
40,5,389,20,0,5,6,4,95,4,1,4,2
41,12,26,7,3,5,6,4,105,4,1,0,1
42,0,441,12,0,2,4,7,66,4,1,0,1
43,0,422,12,0,2,4,5,66,4,1,3,1
44,5,473,20,0,5,6,6,94,4,1,4,1
45,5,672,14,0,5,5,6,69,4,1,0,2
46,11,94,13,4,2,5,5,77,4,1,3,1
47,12,9,2,4,5,4,4,72,4,1,1,1
48,4,115,17,0,0,4,6,33,4,1,4,1
49,1,138,3,0,2,1,2,39,1,0,3,0
50,4,156,3,0,0,5,4,42,4,1,0,1
51,14,119,9,1,5,3,4,34,1,0,4,0
52,12,17,21,3,5,6,4,100,4,1,2,1
53,5,895,16,0,5,8,4,107,4,1,1,3
54,0,289,12,0,2,3,6,71,2,1,3,1
55,0,409,19,0,2,4,2,60,4,1,2,0
56,5,292,21,0,5,6,4,106,4,1,0,1
57,5,549,4,0,5,5,4,89,4,1,1,2
58,0,557,14,0,2,4,5,76,4,1,0,1
59,5,894,16,0,5,8,4,104,4,1,2,4
60,0,923,16,0,2,7,4,108,4,1,3,2
61,6,25,17,0,5,6,7,19,4,1,3,1
62,12,6,2,3,5,5,7,73,4,1,3,1
63,11,265,20,4,2,5,4,94,4,1,2,1
64,5,188,12,0,5,5,4,64,4,1,2,1
65,0,135,17,0,2,4,5,58,4,1,2,1
66,10,374,7,2,0,4,6,9,4,1,2,1
67,8,249,8,0,7,6,4,101,4,1,4,1
68,0,868,19,0,2,4,4,55,4,1,2,1
69,11,145,16,4,2,7,4,107,4,1,3,2
70,11,98,16,3,2,6,4,108,4,1,3,2
71,5,292,21,0,5,6,4,107,4,1,0,1
72,11,80,5,4,2,5,4,105,4,1,4,1
73,12,20,13,3,5,5,5,77,4,1,3,1
74,4,836,17,0,0,4,7,19,4,1,2,1
75,5,676,16,0,5,7,4,107,4,1,0,2
76,5,372,8,0,5,5,4,98,4,1,1,1
77,0,327,5,0,2,6,4,104,4,1,1,1
78,5,635,5,0,5,6,5,97,4,1,3,2
79,12,40,21,4,5,6,4,106,4,1,0,1
80,0,356,12,0,2,4,5,64,2,1,2,1
81,3,225,9,0,1,6,6,34,4,1,1,1
82,10,523,12,2,2,3,4,63,4,1,1,1
83,0,737,12,0,2,5,4,61,4,1,0,1
84,5,456,20,0,5,6,4,94,4,1,3,2
85,4,636,15,0,0,7,4,93,4,1,1,2
86,5,800,8,0,5,5,4,101,4,1,3,2
87,11,84,11,4,2,5,4,100,4,1,3,1
88,0,409,12,0,2,4,4,55,4,1,0,1
89,6,775,6,0,5,6,6,44,4,1,3,1
90,4,135,3,0,0,4,7,29,4,1,3,1
91,0,491,5,0,2,4,6,73,2,1,0,1
92,5,916,16,0,5,6,4,107,4,1,1,2
93,11,110,16,3,2,5,4,106,4,1,3,1
94,10,185,12,2,6,4,4,80,4,1,0,1
95,4,899,9,0,0,4,4,51,4,1,1,1
96,1,374,7,0,2,4,6,14,4,1,2,0
97,5,290,8,0,5,5,4,101,4,1,0,1
98,0,896,20,0,2,5,4,104,4,1,2,1
99,10,345,12,2,2,2,3,51,4,0,0,0
100,0,728,23,0,2,7,4,106,4,1,0,3
101,4,307,7,0,0,4,6,22,4,1,0,1
102,0,202,5,0,2,4,4,73,4,1,3,1
103,8,173,4,0,7,4,3,59,4,1,0,1
104,0,395,12,0,2,4,6,54,4,1,1,1
105,0,366,12,0,2,4,5,71,4,1,3,1
106,5,292,8,0,5,5,4,95,4,1,3,1
107,0,231,12,0,2,4,5,59,4,1,3,1
108,0,759,22,0,2,7,4,109,4,1,3,3
109,12,16,21,4,5,5,4,101,4,1,1,1
110,4,84,18,0,0,4,4,36,4,1,3,1
111,1,69,3,0,2,2,5,38,4,1,2,0
112,1,113,17,0,2,4,5,24,4,1,1,0
113,4,202,12,0,0,4,3,51,4,1,3,1
114,8,202,7,0,7,5,5,77,4,1,3,1
115,5,683,21,0,5,7,4,105,4,1,1,3
116,0,1057,4,0,2,3,5,55,4,1,2,2
117,0,1049,23,0,2,4,3,64,4,1,1,1
118,0,799,16,0,2,9,4,110,4,1,3,4
119,4,608,18,0,0,5,4,39,4,1,2,1
120,5,736,14,0,7,6,5,80,4,1,1,1
121,9,547,7,0,6,3,4,73,4,1,2,1
122,1,135,17,0,2,5,5,29,2,1,0,1
123,0,405,12,0,2,4,6,59,4,1,0,1
124,9,753,19,0,6,4,6,62,4,1,4,1
125,0,334,19,0,2,4,5,64,4,1,1,1
126,1,569,19,0,2,4,7,43,4,1,2,1
127,0,827,12,0,2,3,4,61,4,1,2,1
128,8,496,23,0,7,6,4,104,4,1,1,1
129,0,202,12,0,2,4,4,51,4,1,2,0
130,0,587,19,0,2,4,5,69,4,1,0,1
131,1,91,9,0,2,3,6,20,4,1,1,1
132,4,1006,4,0,0,4,5,47,4,1,1,2
133,5,836,23,0,5,7,4,106,4,1,1,2
134,0,216,12,0,2,4,5,60,4,1,1,1
135,0,503,20,0,2,5,4,85,4,1,4,1
136,5,301,5,0,5,6,4,106,4,1,2,1
137,5,678,11,0,5,4,3,70,4,1,2,1
138,0,296,7,0,2,4,6,56,4,1,0,1
139,6,660,6,0,5,6,8,30,4,1,3,2
140,10,860,12,2,2,4,4,66,4,1,2,1
